City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
228,Anadyr,RU,64.75,177.4833,-17.9,83,20,11.18,few clouds
229,Hualmay,PE,-11.0964,-77.6139,72.82,73,27,12.5,scattered clouds
230,Castro-Urdiales,ES,43.3829,-3.2204,52.23,64,0,4.18,clear sky
231,Xai-Xai,MZ,-25.0519,33.6442,72.05,62,100,22.01,overcast clouds
232,Bubaque,GW,11.2833,-15.8333,82.67,61,92,10.42,overcast clouds
233,Alexandria,EG,31.2156,29.9553,59.67,67,15,13.71,few clouds
234,New Norfolk,AU,-42.7826,147.0587,62.1,36,100,3.06,overcast clouds
235,Kloulklubed,PW,7.0419,134.2556,83.73,79,75,12.5,broken clouds
236,Kasongo-Lunda,CD,-6.4667,16.8167,71.42,88,22,2.91,few clouds
237,La Ligua,CL,-32.4524,-71.2311,74.98,44,0,10.13,clear sky
238,Iwaki,JP,37.05,140.8833,34.02,59,2,1.99,clear sky
239,Qiyang,CN,26.5911,111.8474,45.14,33,16,5.5,few clouds
240,Puerto Baquerizo Moreno,EC,-0.9,-89.6,69.03,87,81,9.69,broken clouds
241,Adre,TD,13.4667,22.2,70.86,25,7,15.43,clear sky
242,Bose,IT,45.4612,8.0137,45.21,77,0,3.36,clear sky
243,Isangel,VU,-19.55,169.2667,71.71,94,75,2.3,broken clouds
244,Meulaboh,ID,4.1363,96.1285,77.05,89,100,5.46,overcast clouds
245,Muhos,FI,64.808,25.9931,26.71,94,100,3.83,overcast clouds
246,Panjakent,TJ,39.4952,67.6093,37.2,28,0,8.88,clear sky
247,Izhma,RU,65.0083,53.9113,6.91,99,98,2.13,overcast clouds
248,Evanston,US,42.0411,-87.6901,41.18,67,75,1.99,broken clouds
249,Korla,CN,41.7597,86.1469,22.55,60,0,4.63,clear sky
250,Kisangani,CD,0.5167,25.2,74.64,84,100,4.05,overcast clouds
251,Touros,BR,-5.1989,-35.4608,86.9,68,9,16.55,clear sky
252,Honningsvag,NO,70.9821,25.9704,31.75,86,75,12.66,light shower snow
253,Karratha,AU,-20.7377,116.8463,82.63,49,14,12.53,light rain
254,Anito,PH,12.4497,125.2886,78.57,91,100,8.5,light rain
255,Alanya,TR,36.5438,31.9998,48.33,71,99,6.04,overcast clouds
256,Alwar,IN,27.5667,76.6,50.13,34,0,3.91,clear sky
257,Sibu,MY,2.3,111.8167,73.18,100,100,0.89,overcast clouds
258,Sioux Lookout,CA,50.1001,-91.917,7.18,86,100,3.65,overcast clouds
259,Komsomolskiy,UZ,40.4272,71.7189,27.82,74,0,6.91,mist
260,Hamilton,US,39.1834,-84.5333,48.65,53,100,3.0,overcast clouds
261,Piracuruca,BR,-3.9281,-41.7092,100.18,23,84,4.99,broken clouds
262,Shimoda,JP,34.6667,138.95,38.1,46,0,22.35,clear sky
263,Sorland,NO,67.667,12.6934,44.67,86,100,26.64,overcast clouds
264,Plonsk,PL,52.6235,20.3755,42.04,74,100,13.09,overcast clouds
265,Faya,SA,18.3851,42.4509,56.14,64,5,1.92,clear sky
266,Dudinka,RU,69.4058,86.1778,-38.87,100,66,4.47,broken clouds
267,Mamallapuram,IN,12.6264,80.1722,78.06,74,29,10.65,scattered clouds
268,Sibolga,ID,1.7427,98.7792,75.2,92,100,2.82,overcast clouds
269,Bandarbeyla,SO,9.4942,50.8122,77.31,71,75,17.54,broken clouds
270,Avera,US,33.194,-82.5271,68.92,71,100,5.46,overcast clouds
271,San Francisco,US,37.7749,-122.4194,55.6,75,1,1.01,clear sky
272,Carbonia,IT,39.1672,8.5222,54.0,91,4,2.42,clear sky
273,Rantepao,ID,-2.9701,119.8978,67.15,97,71,2.24,broken clouds
274,Bom Jesus,BR,-9.0744,-44.3586,90.68,42,98,4.59,overcast clouds
275,Porto Novo,BJ,6.4965,2.6036,81.16,74,34,7.58,scattered clouds
276,Chitral,PK,35.8462,71.7858,27.52,24,0,7.76,clear sky
277,Vanavara,RU,60.34,102.2797,-18.51,100,100,1.74,overcast clouds
278,Constitucion,CL,-35.3333,-72.4167,65.37,55,0,14.74,clear sky
279,Ewa Beach,US,21.3156,-158.0072,80.55,71,1,3.44,clear sky
280,Nelson,NZ,-41.2833,173.2833,61.7,81,5,1.01,clear sky
281,Esperance,AU,-33.8667,121.9,58.68,71,100,7.92,overcast clouds
282,Najran,SA,17.4924,44.1277,61.16,28,0,2.84,clear sky
283,Turinsk,RU,58.0458,63.696,15.42,97,100,2.33,overcast clouds
284,La Palma,US,33.8464,-118.0467,67.03,58,1,1.99,clear sky
285,Yangjiang,CN,21.85,111.9667,60.71,53,81,11.7,broken clouds
286,De Aar,ZA,-30.6497,24.0123,66.04,38,56,22.68,broken clouds
287,Alofi,NU,-19.0595,-169.9187,79.9,82,15,15.7,light rain
288,Ati,TD,13.2154,18.3353,75.29,23,1,12.19,clear sky
289,Vestnes,NO,62.6264,7.0884,49.84,81,75,17.27,broken clouds
290,Nara,JP,34.6851,135.8049,40.28,86,100,9.66,light snow
291,Daru,PG,-9.0763,143.2092,78.37,88,100,2.1,moderate rain
292,Baguanos,CU,20.7517,-76.0269,82.69,57,11,19.62,few clouds
293,Muncar,ID,-8.4333,114.3333,77.94,89,100,2.15,overcast clouds
294,Gorontalo,ID,0.5412,123.0595,75.13,92,75,2.75,broken clouds
295,Coahuayana,MX,18.7333,-103.6833,88.25,47,92,6.33,overcast clouds
296,Kudahuvadhoo,MV,2.6708,72.8944,82.26,74,100,8.14,overcast clouds
297,Sangar,RU,63.9242,127.4739,-26.61,96,100,4.74,overcast clouds
298,Vardo,NO,70.3705,31.1107,31.98,93,75,13.8,broken clouds
299,Vallenar,CL,-28.5708,-70.7581,87.53,23,5,11.56,clear sky
300,Paamiut,GL,61.994,-49.6678,10.33,73,0,10.8,clear sky
301,Saint-Joseph,RE,-21.3667,55.6167,73.78,76,14,0.83,few clouds
302,Lagoa,PT,39.05,-27.9833,58.75,56,100,19.04,overcast clouds
303,Grass Valley,US,39.2191,-121.0611,49.77,70,1,0.0,clear sky
304,Maltahohe,NA,-24.8333,16.9833,74.59,16,43,13.24,scattered clouds
305,Leningradskiy,RU,69.3833,178.4167,-13.13,97,100,2.19,overcast clouds
306,Imeni Zhelyabova,RU,58.9544,36.5956,25.48,95,92,6.44,overcast clouds
307,Thompson,CA,55.7435,-97.8558,-14.64,76,75,5.75,broken clouds
308,Aklavik,CA,68.2191,-135.0107,-8.03,97,100,3.51,overcast clouds
309,Marsaxlokk,MT,35.8419,14.5431,54.09,76,20,6.91,few clouds
310,Angoram,PG,-4.0625,144.0661,76.15,86,100,6.26,overcast clouds
311,Guerrero Negro,MX,27.9769,-114.0611,65.62,44,0,3.38,clear sky
312,Two Rivers,US,44.1539,-87.5693,29.32,63,1,3.0,clear sky
313,Gimli,CA,50.6336,-96.9907,7.43,85,100,5.79,overcast clouds
314,Kirakira,SB,-10.4544,161.9205,78.19,87,100,6.62,overcast clouds
315,Yar-Sale,RU,66.8333,70.8333,-23.1,100,100,8.28,overcast clouds
316,Anajatuba,BR,-3.2644,-44.6197,86.2,64,96,5.99,overcast clouds
317,Tevaitoa,PF,-16.7833,-151.5,81.23,69,28,15.79,light rain
318,Flinders,AU,-34.5833,150.8552,66.2,87,100,8.75,overcast clouds
319,Macheng,CN,31.1783,115.0319,33.51,45,0,5.41,clear sky
320,Mount Gambier,AU,-37.8333,140.7667,73.31,43,90,16.11,overcast clouds
321,Samarai,PG,-10.6167,150.6667,80.71,82,56,7.94,moderate rain
322,San Patricio,US,28.017,-97.5169,81.01,64,100,18.66,overcast clouds
